"Label (Grouping)","HOUSEHOLDS","HOUSEHOLDS!!Total households","HOUSEHOLDS!!Average household size","FAMILIES","FAMILIES!!Total families","FAMILIES!!Average family size","AGE OF OWN CHILDREN","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only","Total households","Total households!!SELECTED HOUSEHOLDS BY TYPE","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 60 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone!!65 years and over","Total households!!UNITS IN STRUCTURE","Total households!!UNITS IN STRUCTURE!!1-unit structures","Total households!!UNITS IN STRUCTURE!!2-or-more-unit structures","Total households!!UNITS IN STRUCTURE!!Mobile homes and all other types of units","Total households!!HOUSING TENURE","Total households!!HOUSING TENURE!!Owner-occupied housing units","Total households!!HOUSING TENURE!!Renter-occupied housing units"
"        Margin of Error","","±25,744","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±25,744","","±0.1","±0.5","±0.4","±0.4","±0.4","","±0.5","±0.5","±0.3","","±0.5","±0.5"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,092,467","2.61","","2,733,234","3.19","","1,138,456","20.2%","20.1%","59.7%","4,092,467","","31.7%","38.7%","28.9%","27.1%","9.8%","","72.4%","20.1%","7.5%","","65.9%","34.1%"
"        Margin of Error","","±12,679","±0.01","","±19,775","±0.02","","±14,715","±0.8","±0.8","±0.9","±12,679","","±0.4","±0.3","±0.2","±0.4","±0.2","","±0.5","±0.4","±0.2","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,917,471","3.24","","1,917,471","3.21","","738,907","21.1%","20.5%","58.3%","1,917,471","","41.7%","39.5%","(X)","(X)","(X)","","86.5%","7.0%","6.5%","","82.7%","17.3%"
"        Margin of Error","","±19,807","±0.02","","±19,807","±0.02","","±11,947","±1.0","±1.1","±1.2","±19,807","","±0.5","±0.4","(X)","(X)","(X)","","±0.5","±0.4","±0.3","","±0.5","±0.5"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","200,003","3.33","","200,003","2.97","","86,891","25.5%","18.5%","56.0%","200,003","","53.6%","30.6%","(X)","(X)","(X)","","69.6%","19.2%","11.2%","","54.0%","46.0%"
"        Margin of Error","","±8,919","±0.09","","±8,919","±0.08","","±6,636","±3.2","±2.9","±3.6","±8,919","","±2.3","±2.1","(X)","(X)","(X)","","±2.2","±1.9","±1.5","","±2.1","±2.1"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","615,760","3.40","","615,760","3.21","","312,658","16.4%","19.4%","64.1%","615,760","","61.8%","31.2%","(X)","(X)","(X)","","65.4%","25.4%","9.3%","","49.1%","50.9%"
"        Margin of Error","","±13,007","±0.05","","±13,007","±0.04","","±9,898","±1.5","±1.4","±1.9","±13,007","","±1.1","±1.0","(X)","(X)","(X)","","±1.3","±1.2","±0.6","","±1.3","±1.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,359,233","1.25","","(X)","(X)","","(X)","(X)","(X)","(X)","1,359,233","","0.7%","42.2%","32.0%","81.6%","29.5%","","56.2%","36.4%","7.5%","","51.4%","48.6%"
"        Margin of Error","","±17,401","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±17,401","","±0.1","±0.7","±0.6","±0.6","±0.6","","±0.9","±0.8","±0.4","","±0.8","±0.8"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","494,827","2.83","","335,052","3.37","","121,681","20.6%","19.9%","59.4%","494,827","","30.2%","50.1%","40.5%","25.3%","11.5%","","66.6%","32.9%","0.5%","","62.6%","37.4%"
"        Margin of Error","","±4,463","±0.03","","±5,901","±0.05","","±4,670","±2.2","±2.3","±2.3","±4,463","","±0.9","±0.7","±0.4","±1.0","±0.7","","±0.8","±0.8","±0.2","","±1.1","±1.1"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","240,727","3.54","","240,727","3.43","","84,575","21.1%","21.7%","57.2%","240,727","","41.2%","49.0%","(X)","(X)","(X)","","77.6%","22.0%","0.5%","","72.4%","27.6%"
"        Margin of Error","","±5,335","±0.05","","±5,335","±0.05","","±4,184","±2.4","±2.5","±2.3","±5,335","","±1.3","±1.4","(X)","(X)","(X)","","±1.3","±1.3","±0.2","","±1.6","±1.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","27,276","3.71","","27,276","3.20","","9,995","23.0%","18.6%","58.4%","27,276","","50.3%","50.8%","(X)","(X)","(X)","","72.3%","27.7%","0.0%","","62.0%","38.0%"
"        Margin of Error","","±2,432","±0.21","","±2,432","±0.17","","±1,656","±8.5","±7.0","±9.1","±2,432","","±5.2","±4.7","(X)","(X)","(X)","","±4.1","±4.1","±0.5","","±5.3","±5.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","67,049","3.51","","67,049","3.23","","27,111","18.3%","14.8%","66.9%","67,049","","53.8%","51.1%","(X)","(X)","(X)","","66.9%","32.6%","0.5%","","54.4%","45.6%"
"        Margin of Error","","±3,691","±0.11","","±3,691","±0.10","","±2,843","±4.6","±4.8","±5.9","±3,691","","±3.2","±3.1","(X)","(X)","(X)","","±2.6","±2.6","±0.5","","±3.0","±3.0"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","159,775","1.33","","(X)","(X)","","(X)","(X)","(X)","(X)","159,775","","0.4%","51.2%","40.8%","78.4%","35.6%","","49.0%","50.5%","0.5%","","51.4%","48.6%"
"        Margin of Error","","±5,300","±0.03","","(X)","(X)","","(X)","(X)","(X)","(X)","±5,300","","±0.2","±1.7","±1.5","±1.7","±1.6","","±1.7","±1.7","±0.3","","±2.1","±2.1"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","717,151","2.63","","491,073","3.14","","212,098","20.3%","23.6%","56.1%","717,151","","32.3%","40.7%","31.5%","24.3%","10.8%","","78.3%","14.9%","6.9%","","72.3%","27.7%"
"        Margin of Error","","±4,796","±0.02","","±7,254","±0.04","","±5,504","±1.3","±1.6","±1.5","±4,796","","±0.7","±0.5","±0.4","±0.9","±0.5","","±0.7","±0.5","±0.5","","±0.9","±0.9"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","396,372","3.23","","396,372","3.19","","161,659","20.1%","24.2%","55.8%","396,372","","42.9%","39.3%","(X)","(X)","(X)","","88.1%","6.4%","5.4%","","82.9%","17.1%"
"        Margin of Error","","±7,169","±0.03","","±7,169","±0.03","","±4,869","±1.5","±1.9","±1.7","±7,169","","±1.0","±0.8","(X)","(X)","(X)","","±0.8","±0.6","±0.6","","±0.9","±0.9"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,519","3.21","","32,519","2.80","","16,621","24.5%","22.9%","52.6%","32,519","","61.5%","26.8%","(X)","(X)","(X)","","71.5%","15.5%","13.1%","","66.4%","33.6%"
"        Margin of Error","","±3,287","±0.17","","±3,287","±0.16","","±2,238","±6.4","±6.7","±7.8","±3,287","","±4.1","±3.8","(X)","(X)","(X)","","±4.4","±3.7","±3.4","","±4.7","±4.7"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","62,182","3.34","","62,182","3.04","","33,818","19.3%","21.2%","59.5%","62,182","","63.8%","30.3%","(X)","(X)","(X)","","70.8%","19.2%","10.1%","","60.2%","39.8%"
"        Margin of Error","","±3,427","±0.11","","±3,427","±0.11","","±2,847","±4.1","±3.7","±4.6","±3,427","","±3.5","±2.5","(X)","(X)","(X)","","±2.6","±2.6","±1.9","","±3.4","±3.4"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","226,078","1.32","","(X)","(X)","","(X)","(X)","(X)","(X)","226,078","","0.7%","48.0%","37.8%","77.0%","34.4%","","64.0%","28.4%","7.6%","","58.0%","42.0%"
"        Margin of Error","","±6,123","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±6,123","","±0.3","±1.5","±1.5","±1.4","±1.5","","±1.6","±1.3","±0.8","","±1.7","±1.7"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,056,360","2.43","","3,137,923","3.10","","1,288,511","20.7%","19.4%","59.9%","5,056,360","","28.4%","40.7%","30.9%","31.0%","12.1%","","65.6%","32.3%","2.0%","","67.1%","32.9%"
"        Margin of Error","","±12,532","±0.01","","±19,933","±0.01","","±16,455","±0.7","±0.7","±0.9","±12,532","","±0.3","±0.2","±0.1","±0.4","±0.2","","±0.3","±0.3","±0.1","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,282,497","3.17","","2,282,497","3.15","","875,853","22.3%","19.9%","57.7%","2,282,497","","40.8%","41.6%","(X)","(X)","(X)","","83.9%","14.5%","1.5%","","85.7%","14.3%"
"        Margin of Error","","±19,532","±0.01","","±19,532","±0.01","","±13,656","±0.9","±0.8","±1.0","±19,532","","±0.4","±0.4","(X)","(X)","(X)","","±0.4","±0.4","±0.1","","±0.4","±0.4"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","247,142","3.14","","247,142","2.77","","107,324","23.3%","15.2%","61.5%","247,142","","51.5%","32.6%","(X)","(X)","(X)","","66.8%","30.0%","3.2%","","62.6%","37.4%"
"        Margin of Error","","±9,043","±0.06","","±9,043","±0.05","","±6,442","±3.0","±2.1","±3.0","±9,043","","±2.0","±1.6","(X)","(X)","(X)","","±1.9","±1.9","±0.6","","±2.1","±2.1"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","608,284","3.21","","608,284","3.03","","305,334","15.2%","19.4%","65.4%","608,284","","59.9%","31.9%","(X)","(X)","(X)","","60.5%","36.9%","2.7%","","52.0%","48.0%"
"        Margin of Error","","±13,751","±0.04","","±13,751","±0.04","","±9,953","±1.4","±1.6","±2.0","±13,751","","±1.1","±0.9","(X)","(X)","(X)","","±1.3","±1.3","±0.4","","±1.3","±1.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,918,437","1.22","","(X)","(X)","","(X)","(X)","(X)","(X)","1,918,437","","0.7%","43.5%","34.3%","81.8%","31.9%","","45.4%","52.3%","2.3%","","50.3%","49.7%"
"        Margin of Error","","±18,723","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±18,723","","±0.1","±0.6","±0.5","±0.6","±0.5","","±0.7","±0.7","±0.2","","±0.7","±0.7"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,726,489","2.44","","1,740,106","3.05","","731,718","21.5%","21.5%","57.0%","2,726,489","","29.8%","39.9%","30.0%","29.6%","11.5%","","77.9%","18.0%","4.0%","","70.8%","29.2%"
"        Margin of Error","","±11,359","±0.01","","±15,718","±0.02","","±10,197","±0.8","±0.9","±0.9","±11,359","","±0.4","±0.3","±0.2","±0.5","±0.3","","±0.4","±0.4","±0.2","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,307,913","3.13","","1,307,913","3.10","","499,515","21.9%","23.3%","54.8%","1,307,913","","40.7%","40.0%","(X)","(X)","(X)","","91.5%","5.4%","3.0%","","87.3%","12.7%"
"        Margin of Error","","±16,414","±0.02","","±16,414","±0.02","","±11,141","±1.0","±1.1","±1.2","±16,414","","±0.7","±0.6","(X)","(X)","(X)","","±0.5","±0.4","±0.3","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","132,584","3.09","","132,584","2.73","","64,245","25.7%","13.8%","60.5%","132,584","","56.4%","30.2%","(X)","(X)","(X)","","78.1%","15.6%","6.3%","","64.6%","35.4%"
"        Margin of Error","","±6,766","±0.07","","±6,766","±0.06","","±4,851","±3.8","±2.3","±3.6","±6,766","","±2.7","±2.1","(X)","(X)","(X)","","±2.3","±2.0","±1.1","","±2.6","±2.6"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","299,609","3.16","","299,609","2.95","","167,958","18.5%","19.0%","62.4%","299,609","","65.3%","28.3%","(X)","(X)","(X)","","71.7%","22.6%","5.6%","","53.2%","46.8%"
"        Margin of Error","","±10,094","±0.06","","±10,094","±0.06","","±8,324","±1.8","±2.1","±2.2","±10,094","","±1.6","±1.5","(X)","(X)","(X)","","±1.7","±1.6","±0.8","","±1.8","±1.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","986,383","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","986,383","","1.0%","44.8%","34.2%","81.8%","31.9%","","61.8%","33.7%","4.5%","","55.0%","45.0%"
"        Margin of Error","","±15,051","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±15,051","","±0.2","±0.9","±0.7","±0.7","±0.7","","±0.9","±0.8","±0.4","","±0.8","±0.8"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,330,995","2.33","","821,960","2.93","","345,852","20.6%","22.3%","57.1%","1,330,995","","27.8%","40.5%","30.4%","30.6%","12.4%","","78.2%","18.9%","2.9%","","72.0%","28.0%"
"        Margin of Error","","±5,631","±0.01","","±8,203","±0.02","","±6,314","±1.1","±1.1","±1.4","±5,631","","±0.5","±0.3","±0.3","±0.6","±0.4","","±0.6","±0.5","±0.2","","±0.6","±0.6"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","646,759","3.00","","646,759","2.99","","244,458","20.6%","23.5%","55.9%","646,759","","39.0%","42.1%","(X)","(X)","(X)","","93.2%","4.7%","2.0%","","89.4%","10.6%"
"        Margin of Error","","±8,553","±0.02","","±8,553","±0.02","","±6,415","±1.1","±1.4","±1.5","±8,553","","±0.8","±0.6","(X)","(X)","(X)","","±0.6","±0.5","±0.3","","±0.7","±0.7"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","59,962","3.01","","59,962","2.62","","32,881","23.2%","15.8%","61.0%","59,962","","62.1%","22.9%","(X)","(X)","(X)","","81.4%","13.4%","5.2%","","68.3%","31.7%"
"        Margin of Error","","±3,992","±0.12","","±3,992","±0.10","","±3,115","±3.7","±3.2","±4.4","±3,992","","±3.3","±2.7","(X)","(X)","(X)","","±2.8","±2.2","±1.8","","±3.3","±3.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","115,239","3.03","","115,239","2.78","","68,513","19.5%","21.1%","59.5%","115,239","","66.6%","23.5%","(X)","(X)","(X)","","73.3%","22.5%","4.1%","","56.6%","43.4%"
"        Margin of Error","","±5,243","±0.08","","±5,243","±0.08","","±3,916","±2.9","±2.8","±3.3","±5,243","","±2.6","±1.7","(X)","(X)","(X)","","±2.1","±2.0","±0.9","","±2.6","±2.6"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","509,035","1.24","","(X)","(X)","","(X)","(X)","(X)","(X)","509,035","","0.7%","44.2%","34.6%","79.9%","32.3%","","59.9%","36.7%","3.4%","","53.9%","46.1%"
"        Margin of Error","","±8,555","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±8,555","","±0.2","±0.9","±1.0","±0.9","±1.0","","±1.0","±1.0","±0.4","","±1.0","±1.0"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,175,294","2.43","","740,407","3.04","","322,576","22.1%","20.2%","57.7%","1,175,294","","29.9%","40.0%","30.2%","30.3%","12.2%","","78.1%","18.3%","3.6%","","67.7%","32.3%"
"        Margin of Error","","±6,195","±0.01","","±9,430","±0.03","","±6,053","±1.3","±1.3","±1.5","±6,195","","±0.5","±0.4","±0.4","±0.7","±0.5","","±0.6","±0.6","±0.2","","±0.7","±0.7"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","574,286","3.12","","574,286","3.09","","231,134","22.2%","22.4%","55.3%","574,286","","42.1%","39.4%","(X)","(X)","(X)","","91.6%","5.3%","3.1%","","84.7%","15.3%"
"        Margin of Error","","±9,532","±0.03","","±9,532","±0.03","","±5,202","±1.4","±1.6","±1.8","±9,532","","±0.7","±0.6","(X)","(X)","(X)","","±0.5","±0.5","±0.3","","±0.8","±0.8"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","54,468","3.17","","54,468","2.79","","29,451","24.8%","13.6%","61.6%","54,468","","61.9%","26.7%","(X)","(X)","(X)","","76.9%","16.5%","6.5%","","58.0%","42.0%"
"        Margin of Error","","±3,261","±0.14","","±3,261","±0.13","","±2,553","±4.6","±3.6","±5.4","±3,261","","±3.7","±3.3","(X)","(X)","(X)","","±2.9","±2.9","±1.8","","±3.7","±3.7"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","111,653","3.15","","111,653","2.93","","61,991","20.3%","15.1%","64.6%","111,653","","65.1%","29.2%","(X)","(X)","(X)","","75.3%","19.7%","4.9%","","52.3%","47.7%"
"        Margin of Error","","±5,886","±0.08","","±5,886","±0.08","","±4,541","±3.4","±2.4","±3.3","±5,886","","±2.3","±2.7","(X)","(X)","(X)","","±2.2","±2.2","±1.0","","±3.0","±3.0"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","434,887","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","434,887","","0.7%","45.3%","34.9%","81.9%","33.0%","","61.1%","35.3%","3.6%","","50.5%","49.5%"
"        Margin of Error","","±8,580","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±8,580","","±0.2","±1.2","±1.2","±1.0","±1.2","","±1.1","±1.1","±0.4","","±1.3","±1.3"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,828,680","2.40","","1,172,125","2.97","","467,404","22.4%","20.1%","57.5%","1,828,680","","29.2%","41.8%","31.4%","29.7%","12.4%","","71.3%","18.3%","10.3%","","68.8%","31.2%"
"        Margin of Error","","±8,263","±0.01","","±12,188","±0.02","","±7,949","±1.1","±1.0","±1.3","±8,263","","±0.4","±0.3","±0.3","±0.5","±0.4","","±0.5","±0.4","±0.4","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","860,710","3.05","","860,710","3.03","","313,155","22.4%","21.4%","56.2%","860,710","","39.9%","40.9%","(X)","(X)","(X)","","85.5%","5.4%","9.1%","","85.4%","14.6%"
"        Margin of Error","","±12,785","±0.02","","±12,785","±0.02","","±7,703","±1.3","±1.4","±1.6","±12,785","","±0.8","±0.6","(X)","(X)","(X)","","±0.6","±0.4","±0.5","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","91,926","3.07","","91,926","2.65","","42,448","24.5%","14.2%","61.3%","91,926","","54.2%","31.8%","(X)","(X)","(X)","","65.6%","20.4%","14.0%","","58.9%","41.1%"
"        Margin of Error","","±4,422","±0.09","","±4,422","±0.07","","±3,243","±3.8","±3.0","±4.1","±4,422","","±2.6","±2.8","(X)","(X)","(X)","","±2.3","±2.4","±2.0","","±2.8","±2.8"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","219,489","3.13","","219,489","2.87","","111,801","21.4%","18.7%","59.9%","219,489","","62.2%","31.2%","(X)","(X)","(X)","","63.7%","21.7%","14.6%","","51.0%","49.0%"
"        Margin of Error","","±8,059","±0.06","","±8,059","±0.06","","±6,269","±2.3","±2.0","±2.3","±8,059","","±1.8","±1.6","(X)","(X)","(X)","","±1.7","±1.5","±1.3","","±1.8","±1.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","656,555","1.21","","(X)","(X)","","(X)","(X)","(X)","(X)","656,555","","0.7%","48.0%","36.8%","82.7%","34.4%","","56.1%","33.9%","10.1%","","54.3%","45.7%"
"        Margin of Error","","±10,650","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±10,650","","±0.2","±0.9","±0.8","±0.9","±0.9","","±1.0","±1.0","±0.6","","±1.0","±1.0"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,816,902","2.46","","1,131,137","3.13","","469,170","21.5%","20.7%","57.8%","1,816,902","","29.5%","41.9%","31.2%","31.5%","12.3%","","70.5%","17.4%","12.2%","","67.6%","32.4%"
"        Margin of Error","","±10,634","±0.01","","±14,836","±0.03","","±11,300","±1.3","±1.2","±1.4","±10,634","","±0.6","±0.4","±0.4","±0.7","±0.4","","±0.6","±0.5","±0.4","","±0.6","±0.6"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","754,142","3.12","","754,142","3.11","","269,364","21.5%","21.3%","57.2%","754,142","","39.2%","43.4%","(X)","(X)","(X)","","84.5%","5.1%","10.4%","","87.0%","13.0%"
"        Margin of Error","","±12,873","±0.03","","±12,873","±0.03","","±8,683","±1.4","±1.6","±1.9","±12,873","","±0.8","±0.8","(X)","(X)","(X)","","±0.8","±0.5","±0.6","","±0.7","±0.7"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","93,957","3.16","","93,957","2.79","","46,561","31.8%","16.1%","52.0%","93,957","","56.5%","30.2%","(X)","(X)","(X)","","66.3%","14.5%","19.3%","","63.6%","36.4%"
"        Margin of Error","","±5,715","±0.12","","±5,715","±0.12","","±4,280","±5.4","±3.5","±5.6","±5,715","","±3.1","±2.7","(X)","(X)","(X)","","±3.0","±2.6","±2.5","","±3.1","±3.1"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","283,038","3.49","","283,038","3.32","","153,245","18.3%","21.2%","60.5%","283,038","","64.6%","29.9%","(X)","(X)","(X)","","62.9%","22.5%","14.6%","","50.0%","50.0%"
"        Margin of Error","","±8,180","±0.07","","±8,180","±0.07","","±7,339","±2.5","±2.1","±2.9","±8,180","","±1.7","±1.4","(X)","(X)","(X)","","±2.1","±1.9","±1.5","","±2.1","±2.1"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","685,765","1.21","","(X)","(X)","","(X)","(X)","(X)","(X)","685,765","","0.6%","46.7%","35.3%","83.4%","32.7%","","58.7%","29.2%","12.1%","","54.2%","45.8%"
"        Margin of Error","","±12,298","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±12,298","","±0.2","±1.1","±1.0","±1.0","±1.0","","±1.1","±0.9","±0.8","","±1.2","±1.2"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","605,338","2.23","","370,935","2.73","","129,788","23.8%","17.4%","58.8%","605,338","","23.6%","46.7%","36.0%","30.0%","13.2%","","70.6%","21.0%","8.4%","","74.1%","25.9%"
"        Margin of Error","","±5,032","±0.02","","±6,284","±0.03","","±4,385","±2.1","±2.0","±2.4","±5,032","","±0.7","±0.6","±0.5","±0.9","±0.6","","±0.9","±0.8","±0.5","","±0.9","±0.9"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","292,681","2.81","","292,681","2.78","","87,836","24.9%","18.1%","57.0%","292,681","","32.0%","49.3%","(X)","(X)","(X)","","84.7%","8.3%","7.0%","","88.6%","11.4%"
"        Margin of Error","","±5,984","±0.03","","±5,984","±0.03","","±3,918","±2.7","±2.4","±3.2","±5,984","","±1.1","±0.9","(X)","(X)","(X)","","±1.2","±1.0","±0.6","","±1.1","±1.1"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,729","3.00","","26,729","2.43","","15,540","23.4%","13.1%","63.5%","26,729","","62.2%","24.5%","(X)","(X)","(X)","","71.1%","17.4%","11.5%","","76.6%","23.4%"
"        Margin of Error","","±3,020","±0.13","","±3,020","±0.09","","±2,146","±6.0","±4.1","±7.1","±3,020","","±5.0","±3.4","(X)","(X)","(X)","","±4.7","±3.9","±2.6","","±4.1","±4.1"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51,525","2.98","","51,525","2.64","","26,412","20.4%","17.7%","61.9%","51,525","","59.2%","30.0%","(X)","(X)","(X)","","61.6%","25.2%","13.2%","","63.6%","36.4%"
"        Margin of Error","","±3,254","±0.12","","±3,254","±0.11","","±2,616","±4.3","±4.8","±5.6","±3,254","","±3.4","±2.9","(X)","(X)","(X)","","±3.6","±3.2","±2.2","","±3.7","±3.7"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","234,403","1.25","","(X)","(X)","","(X)","(X)","(X)","(X)","234,403","","0.9%","49.7%","38.2%","77.4%","34.0%","","54.8%","36.4%","8.8%","","58.2%","41.8%"
"        Margin of Error","","±6,361","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±6,361","","±0.3","±1.5","±1.5","±1.4","±1.5","","±1.6","±1.6","±0.9","","±1.7","±1.7"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,375,984","2.54","","1,546,282","3.14","","648,420","21.2%","19.2%","59.6%","2,375,984","","30.4%","42.3%","31.5%","28.5%","11.3%","","73.2%","25.6%","1.2%","","67.7%","32.3%"
"        Margin of Error","","±8,175","±0.01","","±14,790","±0.02","","±11,349","±1.0","±0.9","±1.2","±8,175","","±0.5","±0.4","±0.3","±0.6","±0.3","","±0.5","±0.5","±0.1","","±0.6","±0.6"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,104,626","3.26","","1,104,626","3.22","","441,981","22.2%","21.3%","56.5%","1,104,626","","42.6%","42.7%","(X)","(X)","(X)","","88.3%","11.0%","0.8%","","84.0%","16.0%"
